financial_year,year,city,total,population,trips_per_person
2002-03,2002.0,Canberra,20.972404181116477,324627.0,64.60462062957325
2003-04,2003.0,Canberra,20.68523462242209,327357.0,63.18861250079299
2004-05,2004.0,Canberra,20.351727029169048,328940.0,61.8706360709219
2005-06,2005.0,Canberra,21.07013249041355,331399.0,63.57934843018099
2006-07,2006.0,Canberra,20.76409813344584,335170.0,61.9509446950677
2007-08,2007.0,Canberra,20.78033975882617,342644.0,60.647026531403355
2008-09,2008.0,Canberra,20.75687473985904,348368.0,59.58318427599274
2009-10,2009.0,Canberra,19.379360000000005,354785.0,54.62282790986091
2010-11,2010.0,Canberra,18.816864,361766.0,52.013909543738215
2011-12,2011.0,Canberra,18.751600000000003,367985.0,50.9575118551028
2012-13,2012.0,Canberra,18.7671,376539.0,49.841052321273494
2013-14,2013.0,Canberra,18.3696,383257.0,47.93024002170867
2014-15,2014.0,Canberra,18.16817,388799.0,46.72895249216176
2015-16,2015.0,Canberra,18.338492,395813.0,46.331201855421625
2016-17,2016.0,Canberra,18.771696,403104.0,46.567873303167424
2017-18,2017.0,Canberra,19.403249999999996,415046.0,46.74963738959054
2018-19,2018.0,Canberra,20.658875,426081.0,48.4857926075089
2019-20,2019.0,Canberra,18.582336725,435730.0,42.646447857618256
2020-21,2020.0,Canberra,15.518712925807248,444903.0,34.88111549215728
2021-22,2021.0,Canberra,12.293849999999996,452508.0,27.168248959134417
2022-23,2022.0,Canberra,18.221392199999997,456915.0,39.87917271264895
2023-24,2023.0,Canberra,20.4441416,466359.0,43.83777647692013
