route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
4-10647,2023-COMBNXT-Weekday-11,68041400-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041401-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041402-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041403-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041404-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041405-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041406-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041407-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041408-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041409-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,2,0
4-10647,2023-COMBNXT-Weekday-11,68041410-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041411-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041412-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041413-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041414-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041415-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041416-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
4-10647,2023-COMBNXT-Weekday-11,68041417-2023-COMBNXT-Weekday-11,Tuggeranong,0,40684,1,1
