SA1_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
80104104025,0,3,0,0,0,11,10,0,8,6,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,50,4,61,19,26,0,159
80104104026,0,6,3,6,0,22,12,0,23,6,8,0,53,0,0,0,0,0,0,6,3,0,0,0,5,0,14,6,0,0,0,0,0,7,88,14,111,39,63,8,334
80104104027,3,10,0,0,0,27,8,0,9,3,4,0,24,0,0,0,0,0,0,0,3,0,0,0,4,0,4,0,0,3,0,0,0,4,80,12,93,32,39,8,260
80104104028,0,4,0,0,0,9,3,4,7,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,36,9,61,15,34,0,154
80104104029,0,3,4,0,0,16,12,0,9,0,4,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,6,67,0,67,26,31,4,203
80104104030,10,16,0,3,0,36,17,6,26,8,5,3,57,0,0,6,0,0,0,6,4,0,0,0,6,0,11,4,0,0,0,0,0,8,132,16,171,69,56,7,449
80104104031,0,3,0,0,0,5,0,0,6,5,3,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,34,5,49,15,24,0,123
80104104032,0,3,0,0,0,9,6,0,17,0,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,43,8,61,13,17,0,139
80104104301,3,4,0,4,0,12,3,5,6,5,0,0,17,0,0,0,0,0,0,5,0,0,4,0,0,0,5,0,0,0,0,0,5,5,19,10,49,14,26,5,114
80104104302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104104401,0,8,0,0,0,27,6,0,11,4,3,0,26,0,0,3,0,0,0,3,0,0,5,0,4,0,11,0,0,0,0,0,0,5,63,15,89,48,51,5,268
80104104402,0,7,0,0,0,15,5,4,6,6,4,0,28,5,0,6,0,0,0,8,0,0,3,0,0,0,3,0,0,4,0,8,3,11,87,11,86,41,46,14,281
80104104404,0,8,0,7,0,33,5,0,18,5,8,0,27,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,3,65,15,94,55,60,9,286
80104104405,0,5,0,0,0,14,0,4,5,4,5,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,9,54,42,27,0,182
80104104409,3,0,3,0,0,19,0,0,8,0,6,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,55,25,39,5,152
80104104410,0,8,0,0,0,13,3,0,3,8,4,3,15,0,0,3,0,0,0,3,0,0,5,0,0,0,8,0,0,0,0,0,3,4,28,9,41,20,13,5,112
80104104411,4,5,0,0,0,12,0,0,3,3,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,5,40,22,16,0,135
80104104412,0,7,0,0,0,14,0,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,4,0,7,0,0,0,0,0,0,5,28,13,46,16,21,3,125
80104104413,0,13,0,0,0,16,0,0,4,6,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,56,16,63,24,24,4,178
80104104414,0,3,0,0,0,5,4,0,9,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,9,27,11,13,4,84
80104104415,0,3,4,0,0,16,7,0,11,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,47,3,76,20,16,10,173
80104104416,0,6,0,0,0,17,8,0,10,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,0,4,4,0,7,19,67,11,81,20,22,10,206
80104104417,0,6,0,3,0,22,9,0,6,0,4,0,16,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,4,64,10,67,20,21,7,190
80104104418,0,4,4,0,0,24,9,0,13,0,5,0,27,0,0,3,0,0,0,3,4,0,0,0,3,0,8,0,0,0,0,0,0,3,76,10,95,30,22,3,239
80104104419,5,5,0,0,0,12,0,0,9,5,0,0,16,0,0,0,0,0,0,7,0,0,0,6,4,0,13,4,0,0,0,0,0,3,69,14,86,24,25,0,209
