SA1_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
80107109014,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,9,19,26,23,66,50,10,15,4,222
80107109015,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13,23,19,16,38,40,12,18,3,178
80107109016,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,21,21,29,9,71,56,14,28,0,250
80107109017,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,11,7,25,23,4,11,0,104
80107109018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,22,3,43,42,16,13,0,167
80107109019,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,10,23,32,19,55,51,15,32,3,244
80107109020,0,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,5,18,16,15,40,36,14,6,0,147
80107113201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5
80107113202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
80108109101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,14,6,22,25,8,16,0,124
80108109102,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,32,20,17,29,44,12,29,0,199
80108109103,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,17,17,12,34,43,18,18,0,160
80108109104,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,16,10,9,33,12,3,15,0,112
80108109105,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,3,0,0,0,8,7,31,19,15,32,43,14,33,0,191
80108109106,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,3,14,32,20,13,34,47,14,46,0,215
80108109107,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,6,5,35,13,11,37,38,7,17,0,165
80108109108,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,35,18,18,40,51,26,31,3,223
80108109201,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,22,29,21,21,84,62,19,23,4,287
80108109202,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,12,27,15,17,50,53,9,32,0,214
80108109203,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,4,0,0,5,8,7,24,36,15,61,39,23,21,5,232
80108109204,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,11,20,14,10,35,46,7,18,0,165
80108109205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,13,12,39,41,9,16,0,161
80108109206,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,9,26,13,8,43,34,8,28,0,169
80108109207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,18,8,47,52,10,18,0,187
80108109208,0,0,0,0,3,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,18,26,27,24,47,56,19,36,0,250
80108109209,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,4,7,7,16,5,4,15,14,8,5,4,72
80108109210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80108109301,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,23,17,9,49,42,13,14,3,177
80108109302,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,9,12,16,28,38,9,7,3,127
80108109303,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,4,16,25,21,23,64,56,14,19,0,249
80108109304,0,0,4,0,0,8,0,0,0,13,0,0,0,0,0,0,0,0,0,8,27,50,48,41,86,87,31,46,7,417
80108109305,0,7,3,0,0,0,0,0,0,14,0,0,0,0,4,0,0,0,0,0,18,36,26,24,71,61,19,38,0,295
80108109306,0,0,3,3,6,6,0,0,0,14,0,0,0,0,0,0,0,0,0,6,18,36,38,17,74,76,29,29,3,310
80108109401,0,0,4,0,4,4,0,0,0,4,0,0,0,0,0,0,0,3,0,0,10,23,15,17,64,39,11,25,5,218
80108109402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80108109403,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,21,7,10,41,39,6,5,0,137
80108109404,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,5,7,19,32,38,18,75,94,22,34,11,346
80108109405,0,0,0,0,0,3,0,0,0,6,0,5,0,0,0,0,0,0,0,4,13,37,31,20,74,55,19,31,0,284
80108109406,0,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,3,9,10,26,34,24,67,56,18,23,3,270
80108109407,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,6,0,0,5,3,7,23,19,17,47,49,15,18,8,193
80108109501,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,13,11,19,34,26,13,20,0,134
80108109502,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,14,9,16,42,48,12,29,0,173
80108109503,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13,22,7,15,28,31,12,8,0,131
80108109504,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,10,26,25,14,33,35,10,14,0,166
80108109505,0,3,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,6,6,30,26,20,46,46,11,28,0,234
80108109506,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,15,14,15,12,42,33,18,14,0,160
80108109507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,23,15,48,43,15,17,0,189
80108109508,0,3,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,5,16,31,27,24,46,51,14,31,0,245
80108109509,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,18,21,19,38,35,23,14,3,185
