SA1_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
80101100802,0,0,3,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,12,19,49,72,49,31,4,0,0,235
80101100803,0,3,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,18,21,44,41,51,42,3,0,0,216
80101100804,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,21,52,30,22,23,4,0,0,156
80101100805,0,0,0,4,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,16,25,46,57,47,53,10,3,0,253
80101100806,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,10,13,32,34,32,36,8,0,0,170
80101100807,0,0,0,3,0,0,0,0,0,6,0,0,3,6,3,0,0,0,0,12,4,26,83,90,60,36,4,0,0,303
80101100808,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,29,73,50,18,11,0,0,0,195
80101100809,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,13,29,31,42,38,65,9,3,0,229
80101100810,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,11,16,41,54,42,22,3,0,0,185
80101100811,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,6,14,17,14,26,26,6,0,0,111
80101100812,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,13,24,47,51,38,25,11,0,0,205
80101100901,0,0,0,0,0,4,0,0,0,7,0,0,0,0,4,0,0,0,0,4,15,11,49,44,38,28,9,0,0,196
80101100902,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,10,16,36,29,29,28,0,0,0,159
80101100903,0,0,3,4,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,14,16,68,58,46,27,0,0,0,233
80101100904,0,0,4,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,15,21,35,40,43,35,8,0,0,202
80101100905,0,4,0,0,0,3,0,0,0,6,0,0,4,0,0,0,0,0,0,8,14,21,42,50,52,21,8,0,0,203
80101100906,0,0,0,0,3,3,0,0,0,9,0,0,0,3,0,0,0,0,0,3,12,19,43,64,56,39,5,0,0,246
80101100907,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,23,39,25,14,9,0,0,133
80101100908,0,0,0,0,3,3,0,0,0,9,0,0,6,0,0,0,0,0,0,8,9,15,36,46,34,32,5,0,0,177
80101100909,0,3,0,0,4,0,0,0,0,10,0,0,6,0,4,0,0,0,0,11,13,11,34,33,34,11,4,5,0,148
80101100910,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,8,15,42,51,43,20,5,0,0,187
80101101001,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,9,17,11,19,52,43,26,12,0,0,172
80101101002,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,4,10,18,28,41,49,26,5,0,0,184
80101101003,0,0,0,3,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,22,14,38,40,62,33,8,0,0,226
80101101004,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,13,27,51,51,31,16,0,0,197
80101101005,0,5,4,0,0,0,0,0,0,14,0,0,0,4,0,0,0,0,0,6,9,29,37,75,60,33,17,3,0,268
80101101101,0,0,0,0,3,0,0,0,0,10,0,0,0,4,4,0,0,0,0,14,16,26,79,82,75,45,17,0,0,340
80101101102,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,11,45,49,29,34,10,6,0,180
80101101103,0,0,8,0,6,0,0,0,0,11,0,0,4,0,0,0,0,0,0,3,23,19,82,100,72,29,16,0,0,353
80101101104,0,0,4,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,9,7,55,56,39,25,9,0,0,210
80101101105,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,7,28,42,19,14,5,0,0,130
80101101106,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,9,10,32,30,23,13,3,0,0,120
80101101107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101101108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,20,30,16,11,0,0,0,89
80101101109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,12,16,40,22,21,8,0,0,125
80101101110,0,0,0,5,3,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,7,9,36,41,17,14,5,0,0,134
80101101202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101101203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101101301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,43,30,21,7,3,0,0,110
80101101302,0,0,7,0,0,0,0,0,0,13,0,3,3,0,0,0,0,0,0,13,9,34,123,81,42,18,4,0,0,310
80101101303,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,5,17,13,20,35,58,34,11,3,0,201
80101101304,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,14,15,3,20,39,28,4,4,0,125
80101101305,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,3,14,20,34,30,44,43,11,3,0,203
80101101306,5,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,16,12,24,43,36,22,5,3,0,163
80101101307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,27,22,25,11,5,0,0,107
80101101308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,18,12,13,32,52,20,6,3,0,158
80101101309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101101310,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,8,8,10,19,26,21,6,0,0,102
80101101401,0,0,0,4,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12,10,47,35,40,23,4,0,0,170
80101101402,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,10,22,56,65,54,25,5,4,0,249
80101101403,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,18,27,72,89,79,44,10,0,0,343
80101101404,0,0,4,4,6,0,0,0,0,9,0,0,0,3,0,0,0,0,0,3,14,11,76,78,65,29,8,0,0,277
80101101405,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10,14,49,55,45,26,15,0,0,207
80101101406,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,6,5,6,39,33,19,12,0,0,0,123
80101101407,0,0,0,0,3,0,0,0,0,6,0,0,5,0,0,0,0,0,0,9,19,26,78,57,62,51,6,0,0,302
80101101502,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,10,39,38,30,10,4,0,0,140
80101101503,0,0,10,5,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,11,4,30,44,35,16,3,0,0,154
80101101504,0,0,0,6,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,6,16,22,54,59,30,20,3,0,0,199
80101101505,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,25,18,59,79,46,28,6,0,0,260
80101101506,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,10,71,43,45,14,8,0,0,198
80101101508,0,4,9,0,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,4,9,9,45,37,49,25,11,0,0,195
80101101509,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,12,55,57,42,27,8,0,0,203
80101101510,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,9,15,44,56,52,14,0,0,0,186
80101101511,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,4,5,3,13,35,27,14,9,0,0,110
80101101512,0,3,5,0,3,0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,15,20,46,30,24,11,7,0,0,149
80101101513,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,23,74,44,18,9,3,0,0,175
80101101514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80101101515,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,6,20,64,35,22,9,5,0,0,163
