SA1_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
80107109001,11,0,0,3,0,0,5,0,0,15,75,20,27,42,21,18,27,5,0,230
80107109002,3,8,0,0,5,4,10,0,0,21,42,20,20,33,30,21,26,9,0,209
80107109003,0,5,0,3,0,0,0,10,0,15,85,55,37,67,69,62,92,31,7,502
80107109004,11,4,4,3,4,7,0,0,0,29,89,58,84,73,70,78,69,30,14,565
80107109005,0,8,0,6,3,0,0,0,0,22,93,40,64,71,34,44,49,18,4,404
80107109006,0,3,5,0,3,0,0,0,0,18,65,42,65,42,46,36,33,14,8,355
80107109007,11,5,0,9,10,9,0,3,0,44,84,45,70,66,59,68,43,25,6,462
80107109008,5,3,12,3,7,0,0,3,0,35,93,69,72,74,67,60,58,23,4,518
80107109009,6,0,4,0,0,0,4,3,0,17,61,27,50,47,39,34,43,13,0,326
80107109010,4,0,0,0,4,4,8,0,0,27,93,68,25,69,71,86,74,33,6,524
80107109011,0,0,0,0,0,0,8,0,0,21,106,50,48,73,74,60,84,26,5,531
80107109012,4,0,0,0,0,0,0,0,0,10,38,35,31,36,35,34,40,14,3,260
80107109013,0,4,0,3,0,0,5,0,0,19,46,37,41,36,47,37,55,16,3,314
80107109014,0,0,7,4,5,8,8,0,0,19,96,40,59,64,64,52,63,32,4,472
80107109015,4,3,0,3,0,5,3,0,0,17,83,42,45,64,38,32,26,13,7,347
80107109016,3,5,3,3,0,6,0,0,0,21,108,43,70,83,65,61,54,16,0,498
