SA1_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
80106107004,53,41,18,4,185
80106107005,60,61,31,0,298
80106107006,37,56,27,11,212
80106107007,76,49,20,13,355
80106107008,26,28,17,3,157
80106112901,74,87,32,0,583
80106112902,48,50,13,3,267
80106112903,96,70,26,0,753
80106113002,0,0,0,0,0
80106113003,0,0,0,0,11
80106113004,0,0,0,0,0
80106113005,0,0,0,0,0
80106113006,0,0,0,0,0
80106113007,0,4,0,0,13
80106113101,44,30,5,0,299
80106113103,42,24,11,3,500
80106113104,14,9,14,0,143
80106113106,68,78,16,4,628
80106113107,59,39,24,6,416
80106113108,41,47,9,9,381
80106113109,44,21,8,3,363
80106113111,4,0,0,0,4
80106113112,13,9,3,0,320
80106113113,81,79,50,9,472
80106113114,35,17,8,0,280
80106113115,45,32,4,0,275
80106113116,27,30,10,0,202
80106113117,24,9,0,0,282
80106113118,22,10,6,0,354
80106113119,18,8,0,0,286
80107107101,0,0,0,0,0
80107107102,40,14,11,3,272
80107107104,19,13,9,0,143
80107107105,30,28,7,0,207
80107107106,23,6,6,0,171
80107107107,34,3,3,0,175
80107107108,39,26,4,0,281
80107107109,21,10,0,0,173
80107107110,45,24,10,0,347
80107107111,24,9,3,5,129
80107107112,57,15,5,6,287
80107107113,23,7,10,0,126
80107107114,29,17,4,4,169
80107107202,31,24,12,6,166
80107107203,30,18,4,0,193
80107107204,57,36,18,6,247
80107107205,50,21,4,0,344
80107107206,41,30,13,0,291
80107107207,34,24,3,4,196
80107107208,45,26,9,0,265
80107107209,0,0,0,0,0
80107107210,26,14,6,0,167
80107107211,32,14,3,0,123
80107107301,40,19,6,0,223
80107107302,60,16,14,3,228
80107107303,48,19,3,0,255
80107107304,26,21,0,0,163
80107107307,52,24,8,0,226
80107107308,40,22,0,0,159
80107107309,63,28,5,3,286
80107107310,61,38,6,3,241
80107107311,39,26,8,0,275
80107107312,42,15,7,0,193
80107107313,33,6,4,0,185
80107107314,21,24,10,0,143
80107107315,0,3,24,26,50
80107107316,23,11,3,3,159
80107107317,46,13,0,0,206
80107107401,51,36,10,0,221
80107107402,48,37,9,4,263
80107107403,40,15,4,0,153
80107107404,23,21,9,0,147
80107107405,40,20,3,0,228
80107107406,55,23,6,0,247
80107107407,28,27,8,0,246
80107107408,41,20,7,0,138
80107107409,56,23,3,0,255
80107107410,30,17,0,0,150
80107107411,46,22,7,0,245
80107107412,26,20,8,0,139
80107107413,34,15,7,0,164
80107107502,46,6,5,0,169
80107107503,41,19,10,5,190
80107107504,31,25,10,0,214
80107107505,53,13,7,0,251
80107107506,20,7,0,0,225
80107107507,31,13,5,0,185
80107107508,34,21,0,0,159
80107107509,29,17,0,0,108
80107107510,51,11,6,0,244
80107107512,34,9,6,5,153
80107107513,50,25,7,0,183
80107107514,0,0,0,0,0
80107107515,0,0,0,0,0
80107107516,37,26,10,3,273
80107107517,23,12,5,5,133
80107107601,58,33,7,0,209
80107107602,51,39,7,0,223
80107107603,34,40,13,4,220
80107107604,40,38,9,0,250
80107107605,45,33,12,0,213
80107107606,58,41,14,0,246
80107107607,0,0,0,0,0
