route_id,route_short_name,route_long_name,saturday_headway,sunday_headway,weekday_offpeak_headway,weekday_peak_headway,saturday_departures,sunday_departures,weekday_offpeak_departures,weekday_peak_departures,weekday_offpeak,weekday_peak,route_length_km,service_span_hours,weighted_headway,weighted_reliability,weekend_service_ratio,total_daily_departures,cluster,cluster_name
66-10657,66,Cooleman Court to Woden via Denman Prospect,33.407407407407405,60.0,14.567567567567568,11.933333333333334,28.0,15.0,39.0,17.0,99.7,86.69,23.619282038040534,18.783333333333335,24.36013013013013,78.40199999999999,0.7543859649122807,56.0,0,Standard Suburban Network
7-10657,7,Weston Creek to City ANU via Cooleman Court,15.0,15.0,8.140845070422536,7.5,63.0,57.0,73.0,32.0,82.7,87.15,17.49945946510555,18.78333333333333,10.349295774647887,72.59,1.1320754716981132,105.0,2,Frequent All-Week Services
70-10657,70,Tuggeranong to Woden via Kambah West & Cooleman Ct,32.73076923076923,60.0,15.444444444444445,13.857142857142858,27.0,15.0,38.0,16.0,96.61,98.86,17.973165755237073,19.216666666666665,25.10885225885226,80.97149999999999,0.7636363636363637,54.0,0,Standard Suburban Network
71-10657,71,Tuggeranong to Woden via Kambah East & Cooleman Ct,33.74074074074074,60.0,15.352941176470589,14.0,28.0,15.0,36.0,16.0,82.62,90.39,17.708809300366635,18.316666666666666,25.321677559912857,73.53399999999999,0.8113207547169812,52.0,0,Standard Suburban Network
72-10657,72,Tuggeranong to Woden via Oxley & Erindale,33.333333333333336,60.0,16.485714285714284,15.214285714285714,28.0,15.0,37.0,16.0,91.25,92.51,19.708809808695676,17.933333333333334,26.00095238095238,77.1905,0.7962962962962963,53.0,0,Standard Suburban Network
73-10657,73,Tuggeranong to Woden via Monash & Wanniassa,32.67857142857143,58.84615384615385,15.764705882352942,14.142857142857142,29.0,14.0,36.0,16.0,92.88,82.81,15.5193853905482,18.633333333333333,25.123141564318036,74.851,0.8113207547169812,52.0,0,Standard Suburban Network
74-10657,74,Chisholm Loop via Erindale & Richardson,64.61538461538461,120.0,32.125,31.166666666666668,14.0,7.0,18.0,8.0,97.65,77.74,24.68206295338165,17.849999999999998,51.51682692307692,74.9995,0.7777777777777778,26.0,1,Weekend Service Gap
75-10657,75,Chisholm Loop via Richardson & Erindale,66.42857142857143,120.0,32.8125,30.166666666666668,15.0,7.0,18.0,8.0,88.38,95.74,24.634266219676984,18.583333333333332,51.82008928571429,77.155,0.8148148148148148,26.0,1,Weekend Service Gap
76-10657,76,Tuggeranong to Woden via Calwell & Erindale,34.18518518518518,57.23076923076923,15.058823529411764,12.2,28.0,14.0,36.0,17.0,96.81,98.49,27.526152333983717,18.633333333333333,24.352240656946538,80.9305,0.7777777777777778,53.0,0,Standard Suburban Network
77-10657,77,Tuggeranong to Woden via Gowrie & Erindale,34.88461538461539,58.0,15.514285714285714,13.533333333333331,27.0,14.0,37.0,17.0,89.1,99.97,20.819579645915447,18.816666666666666,25.166923076923077,78.67599999999999,0.7454545454545455,54.0,0,Standard Suburban Network
78-10657,78,Richardson Loop via Bonython & Isabella Plains,65.0,120.0,32.375,30.166666666666668,13.0,7.0,18.0,8.0,95.79,33.0,23.268430950468943,19.099999999999998,51.38125,60.9265,0.7407407407407407,26.0,1,Weekend Service Gap
79-10657,79,Calwell to Tuggeranong via Theodore,33.357142857142854,60.0,15.6,13.714285714285714,29.0,15.0,37.0,16.0,96.9,52.25,13.540631357661383,18.6,25.245714285714286,67.09,0.8148148148148148,53.0,0,Standard Suburban Network
8-10657,8,Gunghalin to Belconnen,14.885245901639344,15.403508771929824,8.314285714285715,7.833333333333333,62.0,58.0,72.0,32.0,88.37,91.87,11.780350940637776,19.0,10.547575496117343,75.9905,1.1428571428571428,104.0,2,Frequent All-Week Services
80-10657,80,Lanyon to Tuggeranong via Banks & Conder,33.333333333333336,60.357142857142854,15.588235294117649,14.285714285714286,28.0,15.0,36.0,16.0,92.16,99.42,15.59841193197224,18.833333333333336,25.461834733893557,79.582,0.8113207547169812,52.0,0,Standard Suburban Network
81-10657,81,Lanyon to Tuggeranong via Gordon & Bonython,32.30769230769231,55.76923076923077,16.21212121212121,13.5625,27.0,14.0,35.0,18.0,92.32,97.37,15.758344044670167,19.133333333333333,24.569915501165497,79.023,0.7592592592592593,53.0,0,Standard Suburban Network
9-10657,9,Belconnen to Watson via Bruce & Dickson,14.968253968253968,14.964912280701755,7.888888888888889,7.133333333333334,64.0,58.0,74.0,32.0,92.78,92.91,14.405439882093884,19.25,10.139498746867169,77.846,1.1401869158878504,106.0,2,Frequent All-Week Services
903-10657,903,Kippax to Strathnairn Loop,30.0,30.0,25.294117647058822,15.76923076923077,24.0,24.0,19.0,15.0,81.6,80.3,9.868954682075529,12.749999999999998,24.083710407239817,70.14999999999999,1.3714285714285714,34.0,4,Weekday Peak-Only Express
R1-LR,R1,Gungahlin to City (Light Rail),10.0,12.0,10.0,6.0,50.0,50.0,60.0,60.0,,,12.006374186825976,18.5,9.1,50.0,0.8264462809917356,120.0,3,High-Frequency Core Corridors
